Chinese,French
倾斜,inclinaison
机密的,confidentiel
兴趣,l'intérêt
热的,chaud
h,la sienne
刷新,rafraîchir
厌倦,fatigué
不满,mécontentement
降低,inférieur
否定,Nier
区,zone
腋窝,aisselle
四月,avril
仪表盘,tableau de bord
煎熬,excréciation
阴森,horrible
阳台,terrasse
朝圣,pèlerin
有希望的,optimiste
适当地,correctement
浮躁,impulsif
齿轮,équipement
醉,ivre
篝火,feu
禁运,embargo
毫克,milligramme
表现,se comporter
益处,bénéficier à
脸红,rougissant
侵蚀,érosion
冬天,l'hiver
亲爱的,apparaître
有风险,risqué
退休,retraite
烧伤,brûler
醉人,enivrer
非正式的,informel
联系,consécution
更新,renouveler
餐巾,serviette
不愉快,désagréable
独裁者,dictateur
刀具,coutellerie
相信,croire
娱乐,divertissant
年轻,Jeune
技巧,délicatesse
旋转,tourner
各种各样的,diverse
爆炸性,explosif
河,fleuve
审查,censurer
呼叫者,votre interlocuteur
氏族,clan
曲奇饼,biscuit
兽,bestial
历史,historique
釉,glaçage
皮肤,peau
状况,conditions
林荫大道,boulevard
跟随,suivre
柜,honnête
探明,vérifier
大篷车,caravane
结构体,structure
鼓励,encourager
问题,problème
按照,conformité
熊,ours
先进的,Avancée
马戏表演,cirque
中世纪,médiéval
打扰,déranger
缓和,modérer
周到,réfléchi
认出,reconnaissance
遗憾,pitié
生育力,la fertilité
科学,scientifique
骑师,jockey
欢呼,applaudir
冲浪,le surf
壁炉,cheminée
向前,en avant
不方便,incommode
其他,autre
酸果蔓,canneberge
紧的,serré
角质,corné
三角形,Triangle
网络,cyber
农业,agricole
发言人,porte-parole
行业,secteur
可怜的,pathétique
假寐,couchette
所有权,propriétaire
自命不凡,prétentieux
交换,échanger
删节,abréger
戴尔,vallée
出现,surgir
精神,psychique
警察,police
机车,locomotive
徒手,sans armes
流浪,errer
碎片,éclat
仓库,dépot
基本的,indispensable
特权,prérogative
厄运,perte
奇妙,merveilleusement
健康,santé
闪光,éclat
华氏度,Fahrenheit
坦率,Candide
舞会,bal de promo
大别墅,château
反驳,cornue
卓越,remarquable
鼠,Souris
灭火器,extincteur d'incendie
al,à haute voix
刺激,irriter
背叛,trahison
伞,parapluie
刺,épine
称赞,louer
典故,allusion
赏金,prime
pl,cheminer
省略,omission
实验室,laboratoire
孤儿院,orphelinat
美联储,nourris
面团,Pâte
不宜,maladroit
直升机,hélicoptère
行家,connaisseur
豪饮,biberonner
分解,décomposer
临床,clinique
芝麻,sésame
舔,lécher
区,quartier
脚手架,échafaudage
短裙,jupe
梦,rêver
艺术的,artistique
时髦,froussard
滑行,glisser
轻信,crédule
清真寺,mosquée
委,nommer
诽谤,calomnie
长方形,rectangle
抢夺,arracher
优势,avantage
香芹籽,Carvi
盖,couvercle
测量,la mesure
主导的,dominant
类似,ressembler
张,respect
意识到的,au courant
增加,augmenter
适应,adaptation
二十多岁,vingtaine
袋皮疙瘩,baguette
参议院,sénat
可行的,faisable
让,laisser
响,fort
氢,hydrogène
保释金,cousu
蠕动,ramper
收入,revenu
十二月,décembre
图片,photo
暴发,épidémie
卡通片,dessin animé
松鼠,écureuil
哨,sifflet
消化,digérer
狐狸,Renard
欢笑,gaieté
糕点,Pâtisserie
未来,futur
团队,équipe
变形,déformer
事物,chose
贪婪,vorace
挂毯,tapisserie
谢谢,remercier
黏土,argile
教父,parrain
水,l'eau
除了,outre
九,neuf
传真,fax
美丽,beauté
花花公子,dandy
琐事,bagatelle
剪,ciseaux
同性恋者,homosexuel
香味,fragrance
恶心,la nausée
广阔,vaste
信徒,croyant
减速,retard
鹳,cigogne
任何,peu importe
可能的,possible
千年,millénaire
医生,médecin
登记,S'inscrire
m,simple
香味,flairer
通用的,générique
红色的,rouge
针织,tricoter
杂乱,désordre
洗脑,lavage de cerveau
信仰,croyance
连续,continu
时尚,mode
场地,champ
教导,a enseigné
收音机,radio
征服,conquérir
渔民,pêcheur
贵宾犬,caniche
盗窃,vol
干涉,ingérence
分配,dispenser
降低,tomber
假设,supposition
刈,tondre
线性,linéaire
烟灰缸,cendrier
帐篷,tente
恢复,récupération
宝石,bijou
朋友,copain
par,parquet
展望,perspective
搪瓷,émail
逮捕,arrêter
敢,oser
泥,boue
狗,chienchien
不同,différer
适应,accommodant
鼓舞人心,inspirant
幸灾乐祸,jubiler
大量的,Masse
其余的,restant
镜子,miroir
大都会,Cosmopolite
one,oléivré
实施方式,incarnation
两者都不,ni
扫,balayer
宣布,annoncer
交界处,jonction
短袜,chaussette
精神,esprit
反社会,antisocial
扭曲,tordu
内衣,lingerie
拒绝,rejeter
不害怕,sans gracelence
深渊,abîme
蔑视,défi
向上,vers le haut
艰辛,épreuves
惊喜,surprendre
私人的,privé
甜蜜,douceur
尖,pointu
我们自己,nous-mêmes
朦胧,brumeux
笔记本电脑,portable
纯真,innocence
阿姨,tata
网,rapporter
犹豫不决,indécision
自我控制,maîtrise de soi
和谐,harmonieux
罪,péché
危险的,dangereux
颤动,vibrer
宠坏了,gâté
易燃,inflammable
洛基,rocheux
老的,vieille
面包,pain
驳船,barge
颤动,trembler
清酒,Saké
语法,grammaire
打算,intention de
不同的,différent
设想,scénario
几乎不,à peine
射击,tirer
游览,excursion
椭圆形,oblong
旋转,tournoyer
脆,fragile
sup,souple
拱廊,arcade
障碍,handicap
社论,éditorial
冒险,risquer
重新联系,se reconnecter
十,Dix
下面,sous-marin
坚硬的,solide
神圣,Divin
喜剧,comédie
主题,matière
正面,de face
投手,lanceur
保佑,bénir
监禁,emprisonner
开除,expulsion
蔬菜,légume
指导,guider
温顺,doux
恶毒,vicieux
多元文化,multiculturel
鼾,ronfler
宇航员,astronaute
跑,Cours
部分地,partiellement
尽管如此,néanmoins
赞助,parrainer
柜台,contrer
困惑,confusion
摄影师,photographe
素食者,végétarien
床头,chevet
am,amorphe
一个,un
渴望,fringale
哭泣,sanglot
供应,la fourniture
芦苇,roseau
抓住,attraper
博物馆,musée
伪装,déguisement
计时器,minuteur
沥青,terrain
捷径,raccourci
催眠,hypnotiser
烧焦,brûler
援助,aide
威胁,menace
中等的,moyen
点,endroit
撕裂,déchirer
inf,infester
延长,se déployer
召集,héritage
彻头彻尾,carrément
宣称,Réclamer
抓住,prise
点心,le dessert
后古,sagesse rétrospective
婚姻,mariage
天丝,zénith
不服从,désobéissance
覆盖,couverture
废话,absurdité
彻底,complet
破产,faillite
显着,visible
室友,colocataire
化合物,composé
正统,orthodoxe
封锁,confinement
独立的,indépendant
w,malheur
呃,se tromper
听力,audience
平静地,calmement
痛苦,Souffrance
all,disparaître
巧,astucieux
vista.,vue
他们,eux
的,de
不礼貌,impoli
排除,éliminer
注解,annotation
合并,fusionner
pertnity.,paternité
暂时地,temporairement
碳,carbone
加速,accélération
确认,confirmation
不真实,sans le sou
接缝,couture
改革,réforme
褶皱,pli
希望,espérer
自私,apathique
抢,Rob
对抗,affrontement
撤退,battre en retraite
扬声器,conférencier
昂贵的,cher
复发,rechute
行政人员,exécutif
放弃,abdiquer
刺,piquer
侮辱,insultant
直觉,intuition
凝胶,gel
方向,orientation
任何事物,n'importe quoi
精神上,mentalement
发展,évoluer
碳,carbone
躲闪,épineux
冰柱,stalactite
谨慎,prudence
寺庙,temple
惨淡,lugubre
模块,module
泡沫,mousse
jinx.,jinx
观察,observation
特权,privilège
吉普车,jeep
自助服务,en libre service
第一的,premier
这个,cette
例外,exception
转移,transfert
脸颊,joue
死者,décédé
原住民,aborigènes
什么时候,lorsque
歼灭,annihiler
诊断,diagnostic
再见,au revoir
皇室,Royal
吓唬,effrayant
传感器,capteur
踢,coup
故事,histoire
光泽,lustre
换,déménageur
苹果酒,Cidre
分离,séparation
枉费,futile
罪犯,délinquant
手镯,bracelet
快乐的,heureux
恐惧,peur
萦绕,s'attarder
晒黑,bronzer
扇子,ventilateur
欺骗,trompeur
开始,début
监狱,prison
天主教,catholique
编织,tresser
树桩,souche
令人愉快的,agréable
广泛的,extensif
邮差,facteur
关联,relier
目标,but
苍鹭,héron
敷衍,sommaire
认为,supposer
一厢情愿,gigant
斗牛犬,bouledogue
异教徒,païen
袭击,raid
信任,confier
优雅,élégance
屈服,rendement
恢复,restaurer
放大,amplifier
衍生物,dérivé
侧边,voie secondaire
警官,gendarme
鹰,Aigle
恶作剧,sottises
调,régler
慢性的,chronique
照射,irradier
围绕,tourner
建议,conseiller
悬崖,falaise
摊,stand
上升,augmenter
刻板印象,stéréotype
可选的,optionnel
标题,gros titre
罪人,pécheur
彻头彻尾,carrément
农民,paysan
挑选,prendre
名声,renommée
痴呆,dément
金融,financier
sleazy.,sordide
无意识,discutable
饭店,traiteur
暗示,insinuer
跑步,le jogging
姐姐,sœur
面对,affronter
三明治,sandwich
调味品,condiment
瞥见,coup d'œil
忠诚,dévoué
杰克刀,couteau de poche
熟悉的,familier
爱情,penchant
有缺陷的,défectueux
时期,période
逐步地,progressivement
好的,d'accord
满足,content
丰富,enrichir
贮存,espace de rangement
赌博,trouille
呼吸机,ventilateur
床单,feuille
惩治,punir
风景,paysage
贫血,anémie
不动,immobile
慷慨,générosité
怪物,monstre
车床,tour
改组,réorganiser
常春藤,lierre
顾问,conseiller
屠宰,abattage
承认,accuser réception
折叠式的,pliant
冷杉,sapin
木乃伊,Momie
过度保护,surprotect
钱德勒,cordonneur
超自然,surnaturel
声音的,l'audio
布,chiffon
被禁止,banni
氮,azote
累赘,encombrement
孔雀,paon
公民,citoyen
按摩,massage
硬件,Matériel
当前的,courant
灵感,inspiration
悔改,se repentir
库珀,tonnelier
各种各样的,diverse
崇拜,adorer
释放,Libération
想知道,merveille
折叠,plier
滴管,cabottes
选择,choisi
描述,la description
擦拭,effacer
怀疑,sceptique
the,te
高估,surestimer
可能,probable
拆除,démolition
眼球,globe oculaire
手动的,Manuel
头盔,casque
鸭,canard
铲,bêche
赌注,pieu
十六,seize
提供,offre
out,sortant
l,genoux
产妇,maternité
过敏,allergie
工作室,studio
茎,traquer
瓜,melon
健忘,oublieux
秘密,à l'abri
污秽,sale
棒糖,sucette
国内的,national
婚姻,matrimonial
折扣,réduction
揭幕,ouvreur
阻塞,sabot
冰雹,hanche
鸢尾花,iris
一致性,conformité
百万富翁,millionnaire
阿门,Amen
抓住,attraper
穿,porter
宇宙,cosmique
手机,téléphone portable
报仇,venger
六十,soixante
框架,Cadre
夹子,agrafe
手臂,bras
课,cours
困境,dilemme
眩晕,vertige
破坏,sabotage
五,cinq
洞,trou
接管,reprendre
顽固,obstiné
楔,coin
丸,pilule
娱乐,des loisirs
干,séché
赎罪,expiation
早产,prématuré
字母,alphabet
理解,comprendre
投降,abandon
威胁,menace
克隆,cloner
十年,décennie
责任,devoir
商业的,commercial
出口,sortir
碟子,soucoupe
诱惑,attirer
两个都,les deux
小报,tabloïde
翠,émeraude
动荡,la tourmente
烤面包机,grille-pain
假期,vacance
肉桂,cannelle
成立,trouvé
填充,farci
lo,métier à tisser
叛徒,traitre
恐怖分子,terroriste
尊敬的,respectueux
自豪,Orgueil
经过,passe
旅行,périple
军队,armée
清除,dégager
发音,prononciation
醉,ivre
有能力的,capable
主要的,principal
谁的,dont
园丁,jardinier
杰出的,brillant
双胞胎,double
失望的,déçu
断然,catégoriquement
专员,le commissaire
附件,annexe
订婚,engagement
结尾,fin
可能,force
失能,invalidité
存根,bout
奇迹,merveille
批准,approuver
校园,Campus
偶算,surpasser
送货,livraison
廉价,baisser le prix
苍白,pâle
蛋白质,protéine
高速公路,autoroute
感激的,reconnaissant
拖,glisser
招募,recruter
枚举,énumérer
过度,exagérer
装设,fournir
存货,inventaire
犯罪,s'engager
战争,guerre
学士,bachelier
格子花呢,plaid
邮局,bureau de poste
财政部,Trésorerie
物质,substance
领导者,leader
疯子,fou
桶,baril
sk,déraper
公告,bulletin
救援,porter secours
铝,aluminium
减少,diminution
替补,déplacer
破碎,écrasement
deb,débarquer
性别,genre
规则,régner
安排,organiser
徘徊,flotter
催眠,hypnotiser
策略,tactique
随意的,décontractée
团圆,réunion
杰拉,arable
乐队,orchestre
蹄,sabot
修正,modifier
任何一个,Soit
胭脂,rouge
马弗勒,étouffer
马拉松,marathon
迎合,citer
数数,compte
联盟,ligue
发病,début
有毒,toxique
规划,Planification
必要的,nécessaire
运动,sportif
火器,arme à feu
芭蕾舞,ballet
喜欢,goût
保持,garder
bashful.,timide
受伤,blessée
分期付款,Versement
槊,lance
激怒,mettre en fureur
雕刻,sculpté
塌陷,se calmer
助攻,aider
会议,Rencontre
司法,judiciaire
智力,intellect
catch,entraînant
出口,exportation
启用,Activer
成分,ingrédient
突击,agression
脐,nombril
同志,camarade
覆盆子,framboise
古玩,antiquaire
多变,changeable
恶臭,puanteur
迫在眉睫,imminent
细绳,chaîne de caractères
种族主义,racisme
阻止,blocage
射击,tirer
附寄,joindre
完全,totalement
百万,million
名词,nom
压力,stressant
回归,retour à la maison
嫉妒,envie
金枪鱼,Thon
燃料,carburant
世纪,siècle
imperial,impérial
暴力,la violence
主意,idée
焊接,souder
猎物,proie
导师,superviseur
果酱,confiture
关闭,fermer
政府,gouvernement
嘶哑,rauque
统计数据,statistiques
问,interroger
筛选,filtre
右倾,droit
洗涤剂,détergent
手表,Regardez
舒适,confortable
徘徊,rôder
消失,disparaître
认识,cognition
业余,amateur
召开,convoquer
平底锅,la poêle
生菜,salade
s,affaissement
早期的,de bonne heure
吸引力,attirant
牧师,prunes
到,sur
循环,cycle
巧合,coïncidence
快点,plus rapide
星座,constellation
每个人,Tout le monde
延迟,différé
寒冷,glacial
忠诚,fidèle
如果,si
预言家,prophète
阴谋,terrain
愉快地,Heureusement
发音,prononcer
雕琢,sculpteur
吉他,guitare
监督,surveillance
杂志,journal
人群,foule
会议,conférence
知道,savoir
约会,daté
联盟,coalition
怀疑,suspect
部分,portion
泡沫,mousse
打嗝,hoquet
ab,abject
时间表,calendrier
传统,tradition
网络,réseau
海滨,bord de mer
凳子,tabouret
覆盖,passer outre
镍,nickel
令人羡慕的,enviable
游牧民族,nomade
祖父,grand-père
水仙花,jonquille
处理,manipuler
驼峰,bosse
兄弟,frère et sœur
毛巾,serviette
骗局,escroquer
杯子,tasse
白日梦,rêve
耐心,patience
偏心,excentrique
选择,choisi
清算,clairière
宣传,publicité
定义,définir
搞笑,hilarant
雷达,radar
生锈,rouillé
商榷,délibérer
硬币,pièce de monnaie
无所作为,inaction
六,six
范围,gamme
各种各样的,divers
监视器,surveiller
农村,la campagne
一分钱,penny
收到,recevoir
刺,poignarder
岌岌可危,précaire
草案,Brouillon
不完善,imparfait
气球,ballon
程度,degré
愚蠢的,stupide
支持,favorable
覆盖,couvert
童年,enfance
运动员,athlète
灵巧,dextérité
保险丝,fusible
自信心,confiance en soi
conf,confondre
承包商,prestataire
侄女,nièce
轻浮,frivole
马达,moteur
夜晚,nuit
jaunty.,désinvolte
研究所,institut
泼辣,âcre
最容易的,plus facile
门口,seuil de porte
Mishandle.,maltraiter
证明,prouver
哀叹,complainte
竞争的,compétitif
热情,zèle
内部的,intérieur
车辆,véhicule
但,mais
感恩,action de grâces
继续,a continué
车道,allée
无效,inefficace
阻挠,contrecarrer
超人,remplacer
准备,préparation
傲慢的,arrogant
陷阱,piège
代理人,agent
莱利,agacer
横幅,bannière
床,un lit
要求,exigence
热情的,enthousiaste
航空,aviation
语音,voix
屠杀,massacre
尿,urine
谁,qui
幼稚,puéril
内裤,culotte
ast,étonner
定期,périodique
设计师,designer
袋鼠,kangourou
压抑,déprimant
浪漫,romance
不是,ne pas
肉汤,bouillon
钩,accrocher
网站,site Internet
剥,peler
m,bouillie
爆裂,éclater
吹嘘,blown
孤立,seul
温暖,chaleur
延迟,retard
可通过,passable
巨大的,énorme
悬挂,pendre
诱惑,séduisant
dear,chèrement
初级,junior
抨击,frapper
暂定的,provisoire
吸引人的,attractif
漠视,mépris
逆境,adversité
特此,par la présente
麻雀,moineau
厨师,chef
不可避免的,inévitable
歇斯底里,hystérique
画架,chevalet
外科手术,opération
紫丁香,lilas
赤红,cramoisi
打,battre
访问,visiter
虚假,faux
放逐,bannir
厌恶,désagréable
土壤,sol
垃圾,des ordures
支持,Support
实例,exemple
目的地,destination
掩饰,dissimuler
解决,résoudre
联系,lié
诗,verset
闪光,briller
gossipy,bavard
适用于,adultatoire
挂锁,cadenas
显然,évidemment
程序,programme
筛,tamis
支出,dépense
面包,pain
脊,spinal
懒散,séditieux
芬兰,finlandais
保密,confidentialité
盛开,floraison
稀有的,rare
聘请,louer
chamber,chambre
大约,environ
抵押,hypothèque
合适的,qui convient
钢琴,piano
亲和力,affinité
在,à
是的,Oui
严重,sévère
活泼,vivace
票,billet
噗,bouffée
侠义,chevaleresque
定时,Horaire
广告,publicité
力量,force
最佳,gentil
浅黑肤色的男人,brunette
球,Balle
项目,projet
蛇,serpent
负担,charge
机器,machine
香槟酒,Champagne
乌龟,tortue
排球,volley-ball
迷信,superstitieux
吸收,assimiler
公鸡,coq
丝身思,mélodramatique
火,Feu
p,pompeux
炖,Ragoût
乏味,fastidieux
细菌,bactéries
酡,flus
可触及的,palpable
特许经营,la franchise
毁灭,ruineux
保护,préservation
市场,marché
油腻,huileux
声称,alléguer
陌生,inconnu
飞机,avion
根除,éradiquer
领班,contremaître
胸针,broche
放弃,renoncement
奉献,dévouement
枫,érable
保险,Assurance
尊敬,révérence
同上,idem
遗产,patrimoine
sn,snob
倒数,compte à rebours
旋钮,bouton
航空公司,Compagnie aérienne
没收,confisquer
急剧,nettement
十亿,milliard
pleased,heureux
庇护,asile
咆哮,grognement
曾经,déjà
Lisp.,zézayer
口径,calibre
密度,densité
自助餐,buffet
导师,mentor
词汇表,glossaire
勒索,chantage
诚实,honnêteté
丑恶,repoussant
较大,plus grand
折断,se casser
喂养,alimentation
疯狂地,follement
舒适,confortable
前夕,veille
将要,volonté
w,liasse
泡菜,cornichon
复活,résurrection
刺穿,transpercer
情绪,humeur
基本的,de base
领域,Royaume
离间,éloigner
派对,fête
回合,combat
雨,pluie
不完整,incomplet
渴,assoiffé
解剖学,anatomie
不可发现,irréprochable
阴沉,sombre
海盗,pirate
马具,harnais
领导,premier
减轻,alléger
享受,appréciant
不信任,méfiance
杰作,chef-d'oeuvre
计划,plan
可能是,probable
不合逻辑,illogique
记住,rappelles toi
f,mode
眼皮,paupière
欢迎,accueillant
猴,singe
履行,effectuer
beh,voir
衬垫,Doublure
耳机,écouteurs
部分,partie
假设,présumé
黑手党,mafia
类似的,proche
穿透,pénétrer
寿命,durée de vie
模糊的,vague
伪造,falsifier
木材,Charpente
不可接受,inacceptable
酒吧,pub
ab,abrégé
讽刺,sarcasme
咕噜咕噜,grognement
暂时,momentanément
后,après
遵守,obéit
足球,Football
可听见,de manière audible
铸铁,fonte
牛仔裤,jeans
感人的,impressionnant
炸肉排,escalope
不确定,incertain
不允许,inadmissible
道德上,moralement
要求,demander
信心,confiance
仪式,rituel
改造,maquillage
多孔,poreux
胆大,gras
香菜,persil
繁荣,fleurir
原始,primitif
雷,tonnerre
锋利的,tranchant
在家工作,devoirs
重罪,crime
手铐,passer les menottes
讲师,instructeur
断绝,rompre
在那里,par lequel
桩,pile
瘾君子,junkie
不人道,inhumain
节俭,frugalité
错误,erreur
解雇,sac
一会儿,quelque temps
特点,personnage
侵略,invasion
违抗,defier
无意义,inutile
靠近,à proximité
卷轴,bobine
焦虑的,anxieux
预计,attendre
主席,président
寻找,chercher
饶恕,le pardon
执照,Licence
扩展,expansion
打扫,nettoyage
舞蹈家,Danseur
直立,droit
发抖,frisson
腐烂,putréfier
椋鸟,étourneau
无边的,sans objet
认可,accrédité
uptown.,chic
民众,Publique
轻敲,robinet
安抚,pacifier
非凡的,extraordinaire
赚,gagner
孕,Enceinte
敞篷车,convertible
sett,installé
评论,commentaire
可信的,croyable
卷心菜,choux
棍棒,baguette magique
娱乐,divertissement
大主教,archevêque
各种各样的,divers
酱,sauce
诅咒,maudit
隐瞒,dissimulation
迷人的,beau
捕,contagieux
税,impôt
漠不关心,indifférence
游客,touristique
禁用,désactiver
鳕鱼肝油,foie de morue
诗,poème
重点,se concentrer
输出,sortir
秋天,automne
未婚夫,fiancé
头痛,mal de tête
鉴别,identification
虔,piété
谈判,négociation
秃,chauve
盛夏,milieu de l'été
来源,la source
薄片,flocon
侦探,détective
录像带,cassette vidéo
quid.,chique
更好的,meilleur
拿来,aller chercher
出版物,publication
床耶菊,tourmenter
女同性恋者,lesbiennes
幸存者,survivant
计算,calculer
遗传学,génétiquement
adm,admirable
元音,voyelle
通过,par
道歉,s'excuser
以前,Auparavant
没有任何,rien
分类,classer
龙骨,embardée
不知道,ignorant
参加,assister à
虚伪,hypocrisie
合法的,légitime
晕眩的,étourdi
分配,attribuer
青菜,légumes verts
收缩,rétrécir
档案,les archives
默认,défaut
固定地,fixement
室内的,intérieur
ch,moins cher
处理,s'attaquer à
鬼鬼祟祟,furtif
蟑螂,cafard
儿子,fils
背包,sac à dos
行为,comportement
完成,accomplir
同意,consentement
追踪,Piste
青蛙,grenouille
d,dîner
贬值,dévaluation
纤维,fibre
斯特纳斯,entre États
毁灭性,dévastateur
论文,thèse
船长,skipper
工人,ouvrier
瘦骨嶙峋的,mince
看法,perspective
弹射,éjection
具体来说,Plus précisément
杀,tuer
韦德,patauger
定罪,condamné
转型,transformation
收费,peage
发生,se produire
非小说,fiction
颠簸,secousse
用餐,à manger
摩托车,moto
纸盒,carton
特征,trait
cl,se cramponner
灯塔,phare
债务,dette
代名词,synonyme
推荐,recommander
裤子,des pantalons
奢华,luxe
种族的,ethnique
死亡,décès
c,trique
有时候,parfois
保证,rassurer
敦促,exhorter
不可体,immangeable
辅音,consonne
草图,esquisser
天赋,Talent
收益,gagnant
动机,motif
肚子,ventre
框架,cadre
易溶,soluble
肥胖,corpulent
湾,crique
整改,rectification
兼职,facultatif
鼻子,museau
技术性,technicité
长颈鹿,girafe
调查,enquête
注意,avis
下雨,il pleut
轮询,sondage
航班,voyage en avion
雀巢,se nicher
结巴,balbutier
闪亮的,brillant
锻炼,exercer
卑鄙,ignoble
波峰,crête
喷射,jet
韵律,rythme
木制的,en bois
针织品,bonneterie
警觉,vigilance
前兆,auspice
制作者,fabricant
晚餐,souper
巡逻,patrouille
猜测,deviner
狂欢,délirer
正义,Justice
力量,Puissance
参与者,participant
中介,intermédiaire
擦拭,essuyer
其中,parmi
解决,résoudre
簇,grappe
吸收,absorber
refire.,terrible
较少的,moins
遵守,conformité
慈善机构,charité
摇摇欲坠,précaire
胃灼热,brûlures d'estomac
方舟,arche
误入歧途,égaré
以下,au dessous de
co,adhérer
停战,armistice
夜莺,Rossignol
空白的,Vide
kn,a connu
t,plus serré
违规,transgresser
方面,aspect
有罪,la culpabilité
靴子,bottes
仪式,la cérémonie
退休,se retirer
兰花,orchidée
回复,répondre
橡皮,la gomme
gay,gay
隐蔽,secret
允许,Autoriser
公式,formule
火焰,flamme
唯一,Unique
拥有,ayant
同事,collègue
uns,instable
诽谤,calomnie
推迟,reporter
巨大,immense
凡人,mortel
绞,brin
号叫,hurler
海滨,rivage
斗争,lutter
外,extérieur
预报,prévision
预防,précaution
兔子,lapin
阳台,balcon
缺,irréprochable
基调,clés
塌下来,tomber par terre
允许,permis
更差,pire
和,et
迷惑,embrouiller
秃鹰,vautour
笔记本,carnet
热情,la passion
也许,peut-être
防止,empêcher
干涉,intervention
思考,pense
偶像,idole
荒野,sauvage
刺,piquer
模拟,imiter
宇宙,univers
长者的意思是铁则,beau-frère
联盟,syndicat
全球的,global
冬眠,hiberner
局外人,outsider
听写,dicter
倒退,renverser
合理的,rationnel
语境,le contexte
永恒,éternel
有利,favoriser
驾驶,diriger
级联,Cascade
机械,mécanicien
分别地,séparément
mal,malin
专栏作家,journaliste
准,quasi
西班牙人,Espagnol
停止,arrêt
怪异,bizarre
鹌鹑,Caille
阻止,dissuader
提升,ascension
增加,augmenter
电路,circuit
联络,liaison
莫名其妙,inexplicable
厌恶,répugnant
特点,particularité
l,relâché
再婚,remuré
带来,apporter
头皮,cuir chevelu
蟋蟀,criquet
丰富,abondant
后,de derrière
野蛮人,barbare
占据,occuper
浅褐色的,beige
契据,acte
并发,concours
v,vorace
丰富,copieux
独立,indépendance
酱油,soja
你好,Bonjour
关注,préoccupation
成熟,mature
爱好,passe-temps
行政,administration
目的,objet
容易地,facilement
陡,tremper
死的,morte
爱情,fond
排,section
外科,chirurgical
侵略,agression
优美,gracieux
巨大,gigantesque
混合,mélanger
我们的,notre
肯定,certain
偎,câliner
不必要的,indésirable
嫉妒的,jaloux
描述,décris
自行车,bicyclette
旋转,tourbillon
司法,judiciaire
角色,rôle
惨重,catastrophique
无空,sans air
小的,petit
赡养费,pension
伟大,grandeur
加强,renforcer
衣服,Vêtements
难以捉摸,insaisissable
土著,Aborigène
管道,plomberie
踌躇满志,suffisant
辐射,radiant
乱,désordonné
p,carillonner
一些,nombreuses
标本,spécimen
蓬松的,duveteux
点亮,éclairé
金字塔,pyramide
水泥,ciment
浪漫的,romantique
无障碍,accessible
热切,fervent
酒精,de l'alcool
不当,non conforme
指数,indice
坚果,noix
月,mois
埃及人,égyptien
空的,vide
一定,nécessairement
重建,reconstruire
扫描,analyse
阿斯彭,tremble
匆匆,coup rapide
乐观的,optimiste
责备,réprimande
孤儿,orphelin
学习,apprendre
尴尬的,gênant
日落,le coucher du soleil
眼泪,larme
欺诈罪,fraude
喝酒,drogué
可见的,visible
心碎,peine d'amour
女神,déesse
平均数,moyenne
妈妈,maman
胸罩,soutien-gorge
长大,grandi
鹦鹉,perroquet
保真,fidélité
农民,agriculteur
j,secousse
隐私,intimité
裸照,aux seins nus
呜,courtiser
无懈可击,invulnérable
预定,prédestiner
足够的,assez
游侠,ranger
来,venir
网页,la toile
队列,cohorte
曲线,courbe
六月,juin
意义,importance
改变,monnaie
虚荣,vanité
天鹅绒,velours
蜗牛,escargot
迫害,persécuter
外科医生,chirurgien
幽灵般的,sinistre
门铃,sonnette
椅子,chaise
孙女,petite fille
无意识,inconscient
便携的,portable
成功的,à succès
沙,sablonneux
编译,compiler
你自己,toi-même
嘲笑,railleur
恐惧,horrifié
不朽,immortel
过度的,fou de joie
繁荣,boom
偿还,rembourser
系列,séries
结束,terminer
开始,début
按,presse
怪物,Freak
场合,occasion
加拿大人,canadien
任性,caprice
超声,ultrason
拍打,donner une fessée à
糟糕,pouilleux
词库,thésaurus
occ,occulte
对手,adversaire
特定,particulier
合理化,rationaliser
感觉,sentiment
责备,réprouver
树,arbre
窒息,étouffer
浴室,salle de bains
Payslips.,annulaires
资产,actif
矛盾,contradiction
匕首,dague
一般,aiteux
消亡,disparition
交易,transaction
拥抱,embrasser
取消,Annuler
花,fleur
密切,étroitement
处理,traité
嘶,pétillant
不愿意,réluctance
顽固,obstination
蠓,moucheron
胸部,Sein
通道,passage
枕套,taie d'oreiller
夏令,frisottis
不足,manquant
迪斯科,disco
纪律,disciplinaire
话题,sujet
东,est
失败,échouer
expl,explicite
周三,Mercredi
剩下,laissé pour compte
距离,distance
模糊,indistinct
惩戒,réprimande
摇,secouer
压倒,submerger
养护,conserver
变成了,devenu
迎接,saluer
即,à savoir
悲伤,deuil
自治市镇,arrondissement
自己,soi
倒车,aigrir
无能为力,Aucune idée
尊重,estime
耳语,chuchotement
丛林,jungle
直到,jusqu'à
这样的,tel
分配,allouer
运输,expédition
地下室,sous-sol
结果,résultat
喂食,alimentation
分散,dispersion
珊瑚,corail
推断,déduire
学校,l'école
百吉饼,beignet
授权,habiliter
Arracement.,accusation
骨髓,moelle
吓唬,effrayer
框架,encadrement
码头,quai
胸部,bouchon
有些,quelque peu
赤道,équateur
垄断,devancer
谱系,récital
匹配,correspondant à
忽略,ignorer
微型,miniature
pilotage.,pilotage
鱼子酱,caviar
逃亡者,fugitif
