English,French,Chinese,Pingying,Spanish,German
enact,promulguer,制定,zhì dìng,promulgar,erlassen
enamel,émail,搪瓷,táng cí,esmalte,emaille
encircle,encercler,包围,bāo wéi,rodear,umgeben
enclose,joindre,括,guā,encerrar,beifügen
encroach,empiéter,侵犯,qīn fàn,invadir,eindringen
encumber,encombrer,妨碍,fáng ài,cargar,belasten
endeavour,effort,努力,nǔ lì,esfuerzo,bemühen
endurance,endurance,耐力,nài lì,aguante,ausdauer
enlist,enrôler,入伍,rù wǔ,conseguir,gewinnen
enliven,animer,活跃,huó yuè,animar,beleben
enmity,hostilité,敌意,dí yì,enemistad,feindschaft
enrage,enrager,激怒,jī nù,enfurecer,erzürnen
enrapture,ravir,狂喜,kuáng xǐ,extasiar,entzücken
ensue,résulter,随之而来,suí zhī ér lái,sobrevenir,erfolgen
entangle,emmêler,绞,jiǎo,enredar,verwickeln
entice,attirer,诱惑,yòu huo,atraer,locken
entrails,entrailles,内脏,nèi zāng,entrañas,eingeweide
entreat,supplier,恳求,kěn qiú,rogar a,anflehen
entrust,confier,委托,wěi tuō,confiar,anvertrauen
enumerate,énumérer,枚举,méi jǔ,enumerar,aufzählen
enviable,enviable,令人羡慕的,lìng rén xiàn mù de,envidiable,beneidenswert
envoy,envoyé,使者,shǐ zhě,enviado,gesandte
epoch,époque,时代,shí dài,época,epoche
equanimity,équanimité,镇定,zhèn dìng,ecuanimidad,gleichmut
equilibrium,équilibre,平衡,píng héng,equilibrio,gleichgewicht
eradicate,éradiquer,根除,gēn chú,erradicar,ausrotten
evade,éluder,逃避,táo bì,evadir,ausweichen
evaporate,évaporer,蒸发,zhēng fā,evaporar,verdampfen
ewe,brebis,母羊,mǔ yáng,oveja,mutterschaf
exalt,exalter,提升,tí shēng,exaltar,erhöhen
excursion,excursion,远足,yuǎn zú,excursión,ausflug
exemplify,exemplifier,例证,lì zhèng,ejemplificar,veranschaulichen
expulsion,expulsion,开除,kāi chú,expulsión,vertreibung
exaltation,exaltation,提高,tí gāo,exaltación,erhöhung
falter,vaciller,步履蹒跚,bù lǚ mán shān,desfallecer,schwanken
feign,feindre,假装,jiǎ zhuāng,fingir,vortäuschen
ferment,fermenter,发酵,fā xiào,fermentar,ferment
fern,fougère,蕨类,jué lèi,helecho,farn
fervent,fervent,热切,rè qiē,ferviente,inbrünstig
feud,querelle,世仇,shì chóu,feudo,fehde
fidelity,fidélité,保真度,bǎo zhēn dù,fidelidad,treue
fidget,s'agiter,烦躁,fán zào,agitarse,zappeln
fiery,ardent,火热,huǒ rè,ardiente,feurig
finnish,finlandais,芬兰,fēn lán,finlandés,finnisch
flax,lin,亚麻,yà má,linaza,flachs
fleeting,fugace,稍纵即逝,shāo zòng jí shì,fugaz,flüchtig
flicker,vaciller,闪烁,shǎn shuo,parpadeo,flackern
flimsy,fragile,脆弱的,cuì ruo de,endeble,fadenscheinig
flippant,désinvolte,轻率的,qīng lǜ de,ligero,leichtfertig
flint,silex,燧石,suì shí,pedernal,feuerstein
flog,fouetter,鞭打,biān dǎ,azotar,prügeln
flounder,patauger,比目鱼,bǐ mù yú,platija,flunder
flutter,battement,扑,bū,aleteo,flattern
fodder,fourrage,饲料,sì liào,forraje,futter
foe,ennemi,敌人,dí rén,enemigo,feind
folly,folie,蠢事,chǔn shì,locura,torheit
forbear,ancêtre,隐忍,yǐn rěn,abstenerse,vorfahr
forefather,ancêtre,祖先,zǔ xiān,antepasado,urvater
forestall,devancer,垄断,lǒng duàn,prevenir,vorwegnehmen
formidable,redoutable,强大,qiáng dà,formidable,furchtbar
forsake,abandonner,背叛,bèi pàn,abandonar,verlassen
fowl,volaille,鸡,jī,ave,geflügel
frail,frêle,脆弱,cuì ruo,frágil,gebrechlich
frantic,frénétique,疯狂的,fēng kuáng de,frenético,hektisch
freckless,sans taches de rousseur,没有雀斑,méi yǒu què bān,pecoso,sommersprossig
frock,robe,连衣裙,lián yī qún,vestido,kittel
frontier,frontière,边境,biān jìng,frontera,grenze
froth,mousse,泡沫,pào mo,espuma,schaum
frugal,frugal,节俭,jié jiǎn,frugal,sparsam
furrow,sillon,畦,qí,surco,furche
furtively,furtivement,偷偷摸摸,tōu tōu mō mō,furtivamente,verstohlen
gaiety,gaieté,欢乐,huān yuè,alegría,fröhlichkeit
gallop,galop,驰骋,chí chěng,galope,galopp
gargle,gargarisme,漱口,shù kǒu,gárgaras,gurgeln
gaunt,décharné,憔悴,qiáo cuì,demacrado,hager
gauntlet,gant,护手,hù shǒu,guantelete,stulpe
gauze,gaze,纱布,shā bù,gasa,gaze
gelatine,gélatine,明胶,míng xiáo,gelatina,gelatine
gem,gemme,宝石,bǎo shí,joya,juwel
genial,génial,和蔼可亲,hé ǎi kě qīn,genial,genial
germinate,germer,发芽,fā yá,germinar,keimen
ghastly,horrible,阴森,yīn sēn,horrible,grässlich
giddiness,vertige,眩晕,xuàn yūn,mareo,schwindel
gland,glande,腺,xiàn,glándula,drüse
glaze,glaçage,釉,yòu,vidriar,glasur
gleam,lueur,微光,wēi guāng,destello,glänzen
glide,glisser,滑行,huá xíng,planeo,gleiten
glimmer,lueur,微光,wēi guāng,luz tenue,glimmer
glisten,luire,闪亮,shǎn liàng,relucir,glitzern
glitter,briller,闪光,shǎn guāng,brillantina,funkeln
glorify,glorifier,荣耀,róng yào,glorificar,verherrlichen
gnaw,ronger,啃,kěn,roer,nagen
granary,grenier,粮仓,liáng cāng,granero,getreidespeicher
granite,granit,花岗岩,huā gǎng yán,granito,granit
granulated,granulé,颗粒状,kē lì zhuàng,granulado,granuliert
gratification,gratification,满足,mǎn zú,gratificación,befriedigung
grating,grille,光栅,guāng zhà,rejilla,gitter
gravitation,gravitation,引力,yǐn lì,gravitación,gravitation
graze,pâturer,轻擦,qīng cā,pacer,grasen
grimace,grimace,鬼脸,guǐ liǎn,mueca,grimasse
grit,grincer,砂砾,shā lì,arena,streugut
gruff,bourru,粗暴,cū bào,brusco,schroff
grumble,plaindre,叽,jī,queja,murren
gulp,gorgée,吞咽,tūn yān,trago,schluck
gurgle,gargouillis,咕噜咕噜,gū lū gū lū,gorgoteo,gurgeln
gush,jet,喷,pēn,chorro,schwall
haberdashery,mercerie,小百货,xiǎo bǎi huo,mercería,kurzwaren
haemorrhage,hémorragie,出血,chū xiě,hemorragia,blutung
haggard,hâve,枯槁,kū gǎo,demacrado,hager
harmonious,harmonieux,和谐,hé xié,armonioso,harmonisch
harrow,herse,耙,pá,grada,egge
haughty,hautain,傲慢,ào màn,arrogante,hochmütig
haunch,hanche,臀部,tún bù,anca,keule
hazy,brumeux,朦胧,méng lóng,brumoso,dunstig
heartburn,brûlures d'estomac,胃灼热,wèi zhuó rè,acidez,sodbrennen
heathen,païen,异教徒,yì jiào tú,pagano,heiden-
hem,ourlet,下摆,xià bǎi,dobladillo,saum
hinge,charnière,合页,hé yè,bisagra,scharnier
hiss,sifflement,嘶,sī,silbido,zischen
hoard,magot,囤,dùn,acumular,horten
hoarfrost,givre,霜,shuāng,escarcha,raureif
hoof,sabot,蹄,tí,casco,huf
hosiery,bonneterie,针织品,zhēn zhī pǐn,calcetería,strumpfwaren
howl,hurler,嗥,háo,aullido,heulen
hue,teinte,色调,sè diào,matiz,farbton
husk,décortiquer,外壳,wài ké,cáscara,schale
immovable,immeuble,不动的,bù dòng de,inamovible,unbeweglich
impediment,obstacle,障碍,zhàng ài,impedimento,behinderung
impel,pousser,促使,cù shǐ,impulsar,treiben
impending,imminent,即将到来的,jí jiāng dào lái de,inminente,bevorstehende
imperial,impérial,帝国,dì guó,imperial,kaiserliche
impertinent,impertinent,无礼的,wú lǐ de,impertinente,unverschämt
imperturbable,imperturbable,镇定自若,zhèn dìng zì ruo,imperturbable,unerschütterlich
impetus,élan,动力,dòng lì,ímpetu,impetus
implore,implorer,恳求,kěn qiú,implorar,anflehen
improper,non conforme,不当,bù dāng,incorrecto,unangemessen
impunity,impunité,有罪不罚,yǒu zuì bù fá,impunidad,straflosigkeit
inability,incapacité,无力,wú lì,incapacidad,unfähigkeit
inadequate,inadéquat,不足,bù zú,inadecuado,unzureichend
inadmissible,inadmissible,不可受理,bù kě shòu lǐ,inadmisible,unzulässig
inborn,inné,先天,xiān tiān,innato,angeboren
inconceivable,inconcevable,不可思议,bù kě sī yì,inconcebible,undenkbar
inconsistency,incohérence,不一致,bù yī zhì,inconsecuencia,inkonsistenz
indebted,endetté,负债累累,fù zhài lèi lèi,endeudado,verschuldet
indecision,indécision,优柔寡断,yōu róu guǎ duàn,indecisión,unentschlossenheit
indefinite,indéfini,不定,bù dìng,indefinido,unbestimmt
indignant,indigné,愤怒,fèn nù,indignado,empört
indispensable,indispensable,必不可少,bì bù kě shǎo,indispensable,unverzichtbar
indisputable,incontestable,无可争辩的,wú kě zhēng biàn de,indiscutible,unbestreitbar
indistinct,indistinct,模糊,mó hú,indistinto,undeutlich
ineffective,inefficace,无效,wú xiào,ineficaz,unwirksam
inefficient,inefficace,效率低下,xiào lǜ dī xià,ineficiente,ineffizient
inert,inerte,惰性,duo xìng,inerte,untätig
inestimable,inestimable,不可估量,bù kě gū liàng,inestimable,unschätzbar
inexhaustible,inépuisable,取之不尽的,qū zhī bù jǐn de,inagotable,unerschöpflich
inexorable,inexorable,无情的,wú qíng de,inexorable,unerbittlich
infallible,infaillible,万无一失,mo wú yī shī,infalible,unfehlbar
infatuated,entiché,迷恋,mí liàn,chiflado por,vernarrt
infer,déduire,推断,tuī duàn,inferir,schließen
inferior,inférieur,下,xià,inferior,minderwertig
inflate,gonfler,膨胀,péng zhàng,inflar,aufblasen
influx,afflux,涌入,yǒng rù,afluencia,zustrom
infringement,infraction,侵权,qīn quán,infracción,verletzung
infuriate,exaspérer,激怒,jī nù,enfurecer,wütend machen
ingratitude,ingratitude,忘恩负义,wàng ēn fù yì,ingratitud,undankbarkeit
injunction,injonction,禁令,jìn lìng,mandato,einstweilige verfügung
inopportune,inopportun,不合时宜,bù hé shí yí,inoportuno,unpassend
insoluble,insoluble,不溶,bù róng,insoluble,unlöslich
intrepid,intrépide,强悍,qiáng hàn,intrépido,unerschrocken
involuntary,involontaire,不自觉的,bù zì jué de,involuntario,unfreiwillig
iodine,iode,碘,diǎn,yodo,jod
irksome,agaçant,烦人的,fán rén de,molesto,lästig
irreproachable,irréprochable,无可指责,wú kě zhǐ zé,irreprochable,tadellos
irrigate,irriguer,灌溉,guàn gài,irrigar,bewässern
jack-knife,couteau de poche,杰克刀,jié kè dāo,navaja,klappmesser
jagged,déchiqueté,锯齿状,jù chǐ zhuàng,dentado,gezackt
javelin,javelot,标枪,biāo qiāng,jabalina,speer
jeer,railler,嘲笑,cháo xiào,burla,verdammt
jest,plaisanter,笑话,xiào huà,broma,scherz
jolt,secousse,颠簸,diān bo,sacudida,ruck
jovial,jovial,快活的,kuài huó de,jovial,jovial
judicious,judicieux,明智的,míng zhì de,juicioso,vernünftig
jut,saillie,突出,tú chū,sobresalir,jut
keel,quille,龙骨,lóng gǔ,quilla,kiel
kernel,noyau,核心,hé xīn,núcleo,kernel
kindle,allumer,点燃,diǎn rán,encender,entzünden
know-how,savoir-faire,知识,zhī shì,saber como,fachwissen
lacquer,laque,漆,qī,barniz,lack
laden,chargé,满载,mǎn zài,cargado,beladen
ladle,louche,钢包,gāng bāo,cucharón,kelle
lag,décalage,落后,luo hòu,retraso,verzögerung
lame,boiteux,瘸,qué,aburrido,lahm
lament,complainte,哀叹,āi tàn,lamento,klage
lash,fouetter,睫毛,jié máo,latigazo,peitsche
latch,loquet,闩锁,shuān suǒ,pestillo,verriegeln
lathe,tour,车床,chē chuáng,torno,drehbank
lather,mousse,泡沫,pào mo,espuma,schaum
laurel,laurier,月桂树,yuè guì shù,laurel,lorbeer
lavender,lavande,薰衣草,xūn yī cǎo,lavanda,lavendel
levy,prélèvement,征收,zhēng shōu,exacción,erheben
lilac,lilas,紫丁香,zǐ dīng xiāng,lila,lila
lime-tree,tilleul,柠檬树,níng méng shù,limero,zitronenbaum
linger,s'attarder,萦绕,yíng rào,persistir,verweilen
locust,criquet,刺槐,cì huái,langosta,heuschrecke
loin,longe,腰部,yāo bù,lomo,lende
louse,pou,虱,shī,piojo,laus
lubricant,lubrifiant,润滑剂,rùn huá jì,lubricante,schmiermittel
lukewarm,tiède,温,wēn,tibio,lauwarm
lull,accalmie,麻痹,má bì,calma,flaute
luminous,lumineux,发光的,fā guāng de,luminoso,leuchtend
luscious,succulent,甜美,tián měi,delicioso,köstlich
lustre,lustre,光泽,guāng zé,lustre,lüster
luxuriant,luxuriant,繁茂的,fán mào de,exuberante,üppig
magpie,pie,鹊,què,urraca,elster
maim,mutiler,致残,zhì cán,mutilar,verstümmeln
malt,malt,麦芽,mài yá,malta,malz
mammoth,mammouth,长毛象,cháng máo xiàng,mamut,mammut-
mane,crinière,鬃毛,zōng máo,melena,mähne
manuscript,manuscrit,手稿,shǒu gǎo,manuscrito,manuskript
marten,martre,貂,diāo,marta,marder
mast,mât,桅杆,wéi gān,mástil,mast
meek,doux,温顺,wēn shùn,manso,sanftmütig
melon,melon,瓜,guā,melón,melone
militant,militant,好战的,hǎo zhàn de,militante,militant
mimic,imiter,模仿,mó fǎng,imitar,nachahmen
mince,hacher,剁碎,duo suì,desmenuzar,hackfleisch
mirth,gaieté,欢笑,huān xiào,alegría,heiterkeit
mitten,mitaine,手套,shǒu tào,mitón,fäustling
morsel,morceau,一点点,yī diǎn diǎn,bocado,bissen
montley,montley,蒙特利,méng tè lì,montley,montley
muffle,étouffer,马弗,mǎ fú,amortiguar,dämpfen
mulberry,mûre,桑,sāng,mora,maulbeere
mumble,marmonner,咕哝,gū nóng,mascullar,murmeln
mural,mural,壁画,bì huà,mural,wandgemälde
musty,de moisi,发霉的,fā méi de,rancio,muffig
mutilate,mutiler,残害,cán hài,mutilar,verstümmeln
muzzle,museau,枪口,qiāng kǒu,bozal,schnauze
nautical,nautique,航海的,háng hǎi de,náutico,nautisch
neigh,hennir,嘶,sī,relinchar,wiehern
nettle,ortie,荨麻,xún má,ortiga,nessel
niche,niche,利基,lì jī,nicho,nische
nimble,agile,敏捷,mǐn jié,ágil,flink
nominal,nominal,名义上的,míng yì shàng de,nominal,nominal
noncommittal,évasif,不置可否,bù zhì kě fǒu,evasivo,unverbindlich
nondescript,quelconque,不伦不类,bù lún bù lèi,mediocre,unscheinbar
nook,coin,角落,jiǎo luo,rincón,winkel
notwithstanding,malgré,虽然,suī rán,a pesar de,trotz
oblique,oblique,斜,xié,oblicuo,schräg
oblong,oblong,长方形,cháng fāng xíng,oblongo,länglich
oppress,opprimer,压迫,yā po,oprimir,unterdrücken
ostentatious,ostentatoire,炫耀的,xuàn yào de,ostentoso,auffällig
otter,loutre,獭,tà,nutria,otter
quail,caille,鹌鹑,ān chún,codorniz,wachtel
quaver,croche,颤声,zhàn shēng,temblor,zittern
quay,quai,码头,mǎ tóu,muelle,kai
quiver,trembler,颤动,zhàn dòng,carcaj,köcher
paltry,dérisoire,微不足道的,wēi bù zú dào de,miserable,armselig
pang,serrement,庞,páng,angustia,stich
pansy,pensée,三色堇,sān sè jǐn,pensamiento,stiefmütterchen
pant,haleter,喘气,chuǎn qì,pantalón,keuchen
parch,dessécher,胹,ér,tostar,dörren
pare,rogner,削减,xuē jiǎn,cortar,pare
parish,paroisse,教区,jiào qū,parroquia,gemeinde
parson,pasteur,牧师,mù shī,párroco,pfarrer
partition,cloison,划分,huá fēn,dividir,partition
patter,crépiter,啪啪啪,pā pā pā,tamborileo,prasseln
patty,petit pâté,肉饼,ròu bǐng,empanada,pastetchen
peal,carillonner,皮尔,pí ěr,repique,läuten
pebble,galet,卵石,luǎn shí,guijarro,kieselstein
penal,pénal,刑事,xíng shì,penal,bestrafen
pendulum,pendule,摆,bǎi,péndulo,pendel
pensive,pensif,沉思,chén sī,pensativo,nachdenklich
peppermint,menthe poivrée,薄荷,bó hé,menta,pfefferminze
perch,perche,栖息,qī xī,perca,barsch
perplex,embarrasser,困扰,kùn rǎo,dejar perplejo,verwirren
persecute,persécuter,迫害,po hài,perseguir,verfolgen
perverse,pervers,变态,biàn tài,perverso,pervers
phonebooth,cabine téléphonique,电话亭,diàn huà tíng,cabina telefónica,telefonzelle
physique,physique,体质,tǐ zhí,físico,körperbau
pimple,bouton,疙瘩,gē dā,espinilla,pickel
pitfall,piège,陷阱,xiàn jǐng,trampa,falle
plaice,plie,鲽,dié,platija,scholle
plaid,plaid,格子,gé zǐ,tartán,plaid
plaintiff,demandeur,原告,yuán gào,demandante,kläger
plait,tresser,编,biān,trenza,zopf
pleat,pli,褶皱,zhé zhòu,pliegue,falte
plentiful,copieux,丰富,fēng fù,abundante,reichlich
pliable,souple,柔韧的,róu rèn de,flexible,geschmeidig
plight,situation critique,困境,kùn jìng,situación,notlage
plod,cheminer,缓慢,huǎn màn,paso pesado,trotten
plunder,pillage,掠夺,l//v//è duó,saquear,plunder
plywood,contre-plaqué,胶合板,xiáo hé bǎn,madera contrachapada,sperrholz
polarity,polarité,极性,jí xìng,polaridad,polarität
ponder,réflechir,思考,sī kǎo,reflexionar,nachdenken
poplar,peuplier,白杨,bái yáng,álamo,pappel
posterity,postérité,后人,hòu rén,posteridad,nachwelt
potter,potier,陶工,táo gōng,alfarero,töpfer
pouch,poche,小袋,xiǎo dài,bolsa,beutel
pounce,bondir,猛扑,měng bū,saltar,zuschlagen
pout,moue,噘,juē,abadejo,schmollmund
prelude,prélude,序幕,xù mù,preludio,auftakt
prerogative,prérogative,特权,tè quán,prerrogativa,vorrecht
pretence,prétexte,虚伪,xū wěi,pretensión,vorgeben
pretext,prétexte,借口,jiè kǒu,pretexto,vorwand
prism,prisme,棱镜,léng jìng,prisma,prisma
prologue,prologue,序幕,xù mù,prólogo,prolog
propel,propulser,推进,tuī jìn,impulsar,treiben
proprietary,propriétaire,所有权,suǒ yǒu quán,propiedad,proprietär
proprietor,propriétaire,业主,yè zhǔ,propietario,inhaber
provocation,provocation,挑衅,tiāo xìn,provocación,provokation
pulp,pulpe,纸浆,zhǐ jiāng,pulpa,zellstoff
pulverize,pulvériser,粉碎,fěn suì,pulverizar,pulverisieren
pungent,âcre,泼辣,pō là,acre,scharf
purr,ronronner,咕噜噜,gū lū lū,ronroneo,schnurren
ragged,en lambeaux,衣衫褴褛,yī shān bǎo lǚ,harapiento,zottig
rake,râteau,耙,pá,rastrillo,rechen
ram,ram,内存,nèi cún,ram,ram
rascal,coquin,流氓,liú máng,bribón,schlingel
ravage,ravager,蹂躏,róu lìn,estrago,verwüsten
reap,recueillir,收获,shōu huo,recoger,ernten
rebuff,rebuffade,回绝,huí jué,rechazo,abfuhr
rebuke,réprimander,训斥,xùn chì,reprensión,tadel
recline,incliner,横卧,héng wo,reclinar,zurücklehnen
recognition,reconnaissance,认出,rèn chū,reconocimiento,erkennung
recompense,récompense,补偿,bǔ cháng,recompensa,belohnung
reconnaissance,reconnaissance,侦察,zhēn chá,reconocimiento,aufklärung
refrain,refrain,避免,bì miǎn,estribillo,refrain
refutation,réfutation,反驳,fǎn bó,refutación,widerlegung
regent,régent,摄政,shè zhèng,regente,regent
rejoice,réjouir,麾,huī,alegrarse,jubeln
relinquish,renoncer,放弃,fàng qì,renunciar,verzichten
remittance,remise,汇款,huì kuǎn,remesa,überweisung
rend,déchirer,撕裂,sī liè,desgarrar,zerreißen
repent,se repentir,悔改,huǐ gǎi,arrepentirse,bereuen
repress,réprimer,抑,yì,reprimir,unterdrücken
reprimand,réprimande,惩戒,chéng jiè,reprimenda,verweis
reproach,reproche,责备,zé bèi,reproche,vorwurf
reproof,réprimande,责备,zé bèi,reprensión,tadel
resolute,résolu,坚决,jiān jué,resuelto,entschlossen
resound,retentir,回响,huí xiǎng,resonar,erklingen
respite,répit,喘息,chuǎn xī,respiro,aufschub
restoration,restauration,恢复,huī fù,restauracion,wiederherstellung
resurrection,résurrection,复活,fù huó,resurrección,auferstehung
retaliate,user de représailles,报复,bào fù,tomar represalias,sich rächen
reticence,réticence,沉默寡言,chén mo guǎ yán,reticencia,zurückhaltung
retinue,suite,随从,suí cóng,séquito,gefolge
retort,cornue,反驳,fǎn bó,retorta,retorte
rhubarb,rhubarbe,大黄,dà huáng,ruibarbo,rhabarber
rift,crevasse,裂痕,liè hén,grieta,riss
rite,rite,仪式,yí shì,rito,ritus
rivet,rivet,铆钉,liǔ dīng,remache,niet
roe,chevreuil,鱼子,yú zǐ,hueva,rogen
romp,se défouler,欢蹦乱跳,huān bèng luàn tiào,retozar,tummeln
rook,tour,车,chē,torre,turm
rouse,réveiller,唤醒,huàn xǐng,despertar,wecken
rove,vagabonder,流浪,liú làng,recorrer,durchstreifen
rowan,sorbier des oiseleurs,罗文,luō wén,serbal,eberesche
rudder,gouvernail,舵,duo,timón,ruder
ruffian,brute,痞子,pǐ zǐ,rufián,grobian
rumble,gronder,隆隆,lóng lóng,retumbar,rumpeln
rummage,farfouiller,临检,lín jiǎn,hurgar,stöbern
rustic,rustique,乡村,xiāng cūn,rústico,rustikal
rustle,bruissement,沙沙,shā shā,crujido,rascheln
rut,rut,发情,fā qíng,rodera,furche
sable,zibeline,黑貂,hēi diāo,sable,zobel
sacrament,sacrement,圣餐,shèng cān,sacramento,sakrament
sag,affaissement,下垂,xià chuí,hundimiento,durchhängen
sagacious,sagace,明智,míng zhì,sagaz,scharfsinnig
sardine,sardine,沙丁鱼,shā dīng yú,sardina,sardine
satire,satire,讽刺,fēng cì,sátira,satire
scaffolding,échafaudage,脚手架,jiǎo shǒu jià,andamio,gerüst
scald,ébouillanter,烫伤,tàng shāng,escaldadura,verbrühen
scanty,maigre,稀少,xī shǎo,escaso,spärlich
scorch,brûler,烧焦,shāo jiāo,quemar,versengen
scoundrel,scélérat,恶棍,è gùn,sinvergüenza,schurke
scowl,mine renfrognée,皱眉头,zhòu méi tóu,ceño,finsterer blick
scribble,griffonner,涂,tú,escribiendo,kritzeln
scrupulous,scrupuleux,一丝不苟,yī sī bù gǒu,escrupuloso,gewissenhaft
scythe,faux,镰,lián,guadaña,sense
seclude,isoler,隔离,gé chī,aislar,absondern
seethe,voir le,沸腾,fèi téng,hervir,kochen
selfservice,en libre service,自助服务,zì zhù fú wù,autoservicio,selbstbedienung
semblance,semblant,外表,wài biǎo,apariencia,anschein
sequel,suite,续集,xù jí,continuación,folge
shaggy,hirsute,毛茸茸,máo róng róng,lanudo,zottelig
shear,tondre,剪切,jiǎn qiē,cortar,scheren
sherry,sherry,雪莉酒,xuě lì jiǔ,jerez,sherry
shingle,galets,卵石,luǎn shí,guijarros,schindel
shrill,aigu,尖锐,jiān ruì,estridente,schrillen
shrivel,se ratatiner,萎缩,wēi suō,marchitar,schrumpfen
shrub,arbuste,灌木,guàn mù,arbusto,strauch
shudder,frémir,不寒而栗,bù hán ér lì,estremecimiento,schaudern
shuffle,mélanger,洗牌,xǐ pái,barajar,mischen
shun,éviter,顺,shùn,rehuir,meiden
sickle,faucille,镰刀,lián dāo,hoz,sichel
siege,siège,围城,wéi chéng,cerco,belagerung
sift,tamiser,筛,shāi,tamizar,sieben
sill,seuil,窗台,chuāng tái,umbral,schwelle
silliness,niaiserie,愚蠢,yú chǔn,tontería,albernheit
sinew,tendon,腱子,jiàn zǐ,tendón,sehne
singe,roussir,烧焦,shāo jiāo,chamuscar,versengen
skipper,skipper,船长,chuán cháng,patrón,kapitän
skirmish,escarmouche,小冲突,xiǎo chōng tú,escaramuza,scharmützel
sluice,écluse,水闸,shuǐ zhá,compuerta,schleuse
slush,neige fondu,雪泥,xuě ní,fango,matsch
smother,étouffer,窒息,zhì xī,ahogar,ersticken
smoulder,couver,闷烧,mèn shāo,arder sin llama,schwelen
snarl,gronder,咆哮,páo xiāo,gruñido,knurren
sneer,ricanement,冷笑,lěng xiào,burla,spotten
snort,renifler,打喷嚏,dǎ pēn tì,bufido,schnauben
snout,museau,鼻子,bí zǐ,hocico,schnauze
snug,confortable,舒适,shū guā,ajustado,gemütlich
solder,souder,焊接,hàn jiē,soldar,lot
soloist,soliste,独奏者,dú zòu zhě,solista,solist
soluble,soluble,易溶,yì róng,soluble,löslich
spatter,éclabousser,溅,jiàn,salpicar,spritzer
spectrum,spectre,光谱,guāng pǔ,espectro,spektrum
spinach,épinard,菠菜,bō cài,espinacas,spinat
spittle,salive,唾沫,tuo mo,saliva,speichel
splinter,éclat,碎片,suì piàn,astilla,splitter
sprinter,sprinter,短跑运动员,duǎn pǎo yùn dòng yuán,velocista,sprinter
squeak,grincer,吱,zhī,chirrido,quietschen
stagger,échelonner,错开,cuo kāi,tambalear,staffeln
standpoint,point de vue,立场,lì cháng,punto de vista,standpunkt
staunch,étancher,坚定,jiān dìng,firme,stillen
steed,coursier,骏马,jùn mǎ,corcel,ross
steeple,clocher,尖顶,jiān dǐng,campanario,kirchturm
steppe,steppe,草原,cǎo yuán,estepa,steppe
sterile,stérile,无菌的,wú jùn de,estéril,steril
steward,intendant,管家,guǎn jiā,mayordomo,steward
stifle,étouffer,窒息,zhì xī,sofocar,ersticken
stipulate,stipuler,规定,guī dìng,estipular,festlegen
stocking,stockage,袜,wà,media,strumpf
stoker,chauffeur,司炉,sī lú,fogonero,heizer
stout,bière,肥硕,féi shuo,cerveza negra,stout
stow,ranger,存放,cún fàng,estibar,verstauen
strenuous,ardu,吃力的,chī lì de,agotador,anstrengend
strew,parsemer,肸,xì,esparcir,streuen
stripe,bande,条纹,tiáo wén,raya,streifen
strive,aspirer,努力,nǔ lì,esforzarse,sich bemühen
stubble,chaume,茬,chí,rastrojo,stoppel
stump,souche,树桩,shù zhuāng,tocón,stumpf
stupendous,prodigieux,了不起,le bù qǐ,estupendo,erstaunlich
sturdy,robuste,结实的,jié shí de,robusto,robust
stutter,bégayer,口吃,kǒu chī,tartamudear,stottern
subdivide,subdiviser,细分,xì fēn,subdividir,unterteilen
subside,se calmer,塌陷,tā xiàn,disminuir,nachlassen
subsist,subsister,生存,shēng cún,subsistir,bestehen
substance,substance,物质,wù zhí,sustancia,substanz
suede,suède,绒面革,róng miàn gé,ante,wildleder-
sulk,bouder,生闷气,shēng mèn qì,estar mohíno,schmollen
sullen,renfrogné,忧郁,yōu yù,hosco,mürrisch
sultry,étouffant,闷热的,mèn rè de,bochornoso,schwül
sumptuous,somptueux,豪华,háo huá,suntuoso,prächtig
sunken,creux,凹陷,āo xiàn,hundido,versunken
superfluous,superflu,多余,duō yú,superfluo,überflüssig
superintend,surveiller,督,dū,supervisar,beaufsichtigen
superintendent,surveillant général,总监,zǒng jiān,superintendente,superintendent
supersede,remplacer,取代,qū dài,reemplazar,ersetzen
supplant,supplanter,取代,qū dài,suplantar,ersetzen
supple,souple,柔软的,róu ruǎn de,flexible,geschmeidig
suppress,réprimer,压制,yā zhì,reprimir,unterdrücken
surmise,conjecture,推测,tuī cè,conjetura,vermuten
surmount,surmonter,超越,chāo yuè,superar a,überwinden
swarthy,basané,黝黑的,yǒu hēi de,moreno,dunkelhäutig
sway,se balancer,摇摆,yáo bǎi,influencia,schwanken
swerve,embardée,转向,zhuǎn xiàng,viraje,effet
swindle,escroquerie,骗取,piàn qū,estafa,schwindel
swine,porc,猪,zhū,cerdo,schwein
synthesis,synthèse,合成,hé chéng,síntesis,synthese
zealot,fanatique,狂热者,kuáng rè zhě,fanático,eiferer
zealous,zélé,热心,rè xīn,celoso,eifrig
zenith,zénith,天顶,tiān dǐng,cenit,zenit
zigzag,zigzag,之字形,zhī zì xíng,zigzag,zickzack-
zodiac,zodiaque,生肖,shēng xiào,zodíaco,tierkreis
yank,coup sec,猛拉,měng lā,tirón,ruck
yap,japper,耶,yé,ladrar,kläffen
yelp,japper,喊叫,hǎn jiào,gañido,jaulen
yoke,joug,轭,è,yugo,joch
